,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
28,225,393,188,168,31584,2022-09-22 10:05:20.708,2022-09-22 10:05:21.255,0.547,medium,medium,0 days 00:00:10.708000,0 days 00:00:11.255000,9,11
30,147,312,185,165,30525,2022-09-22 10:05:58.322,2022-09-22 10:05:58.682,0.36,medium,medium,0 days 00:00:48.322000,0 days 00:00:48.682000,47,49
32,344,590,340,246,83640,2022-09-22 10:06:33.510,2022-09-22 10:06:35.804,2.294,large,large,0 days 00:01:23.510000,0 days 00:01:25.804000,83,85
34,362,539,145,177,25665,2022-09-22 10:06:53.551,2022-09-22 10:06:53.964,0.413,medium,medium_big,0 days 00:01:43.551000,0 days 00:01:43.964000,102,104
36,471,542,158,71,11218,2022-09-22 10:07:05.711,2022-09-22 10:07:05.831,0.12,small,small,0 days 00:01:55.711000,0 days 00:01:55.831000,114,116
38,294,364,169,70,11830,2022-09-22 10:07:06.245,2022-09-22 10:07:06.351,0.106,small,small,0 days 00:01:56.245000,0 days 00:01:56.351000,115,117
40,372,542,200,170,34000,2022-09-22 10:07:54.300,2022-09-22 10:07:54.820,0.52,medium,medium,0 days 00:02:44.300000,0 days 00:02:44.820000,163,165
42,95,294,194,199,38606,2022-09-22 10:09:27.890,2022-09-22 10:09:28.344,0.454,medium,medium_big,0 days 00:04:17.890000,0 days 00:04:18.344000,257,259
44,399,558,169,159,26871,2022-09-22 10:09:36.264,2022-09-22 10:09:36.610,0.346,medium,medium_small,0 days 00:04:26.264000,0 days 00:04:26.610000,265,267
46,75,317,339,242,82038,2022-09-22 10:09:48.970,2022-09-22 10:09:51.251,2.281,large,large,0 days 00:04:38.970000,0 days 00:04:41.251000,279,281
48,140,317,167,177,29559,2022-09-22 10:09:53.425,2022-09-22 10:09:53.837,0.412,medium,medium_big,0 days 00:04:43.425000,0 days 00:04:43.837000,282,284
50,77,264,250,187,46750,2022-09-22 10:10:00.185,2022-09-22 10:10:00.611,0.426,medium,medium_big,0 days 00:04:50.185000,0 days 00:04:50.611000,289,291
52,491,555,179,64,11456,2022-09-22 10:10:12.905,2022-09-22 10:10:13.065,0.16,small,small,0 days 00:05:02.905000,0 days 00:05:03.065000,301,303
54,166,317,152,151,22952,2022-09-22 10:10:33.292,2022-09-22 10:10:33.746,0.454,medium,medium_small,0 days 00:05:23.292000,0 days 00:05:23.746000,322,324
56,86,244,146,158,23068,2022-09-22 10:10:35.599,2022-09-22 10:10:36.066,0.467,medium,medium_small,0 days 00:05:25.599000,0 days 00:05:26.066000,324,326
58,386,554,196,168,32928,2022-09-22 10:10:53.879,2022-09-22 10:10:54.319,0.44,medium,medium,0 days 00:05:43.879000,0 days 00:05:44.319000,343,345
60,86,257,159,171,27189,2022-09-22 10:11:08.627,2022-09-22 10:11:09.000,0.373,medium,medium_big,0 days 00:05:58.627000,0 days 00:05:59,357,359
62,100,274,165,174,28710,2022-09-22 10:11:10.787,2022-09-22 10:11:11.173,0.386,medium,medium_big,0 days 00:06:00.787000,0 days 00:06:01.173000,359,361
64,119,279,165,160,26400,2022-09-22 10:12:01.362,2022-09-22 10:12:01.775,0.413,medium,medium_small,0 days 00:06:51.362000,0 days 00:06:51.775000,410,412
66,331,493,183,162,29646,2022-09-22 10:12:16.402,2022-09-22 10:12:16.882,0.48,medium,medium,0 days 00:07:06.402000,0 days 00:07:06.882000,425,427
68,387,563,193,176,33968,2022-09-22 10:13:22.592,2022-09-22 10:13:23.045,0.453,medium,medium_big,0 days 00:08:12.592000,0 days 00:08:13.045000,491,493
70,97,259,186,162,30132,2022-09-22 10:13:33.032,2022-09-22 10:13:33.472,0.44,medium,medium,0 days 00:08:23.032000,0 days 00:08:23.472000,502,504
72,114,278,150,164,24600,2022-09-22 10:13:45.205,2022-09-22 10:13:45.673,0.468,medium,medium,0 days 00:08:35.205000,0 days 00:08:35.673000,514,516
74,105,278,152,173,26296,2022-09-22 10:14:11.606,2022-09-22 10:14:12.034,0.428,medium,medium_big,0 days 00:09:01.606000,0 days 00:09:02.034000,540,542
76,358,606,340,248,84320,2022-09-22 10:14:29.820,2022-09-22 10:14:31.860,2.04,large,large,0 days 00:09:19.820000,0 days 00:09:21.860000,559,561
78,365,539,169,174,29406,2022-09-22 10:14:33.900,2022-09-22 10:14:34.367,0.467,medium,medium_big,0 days 00:09:23.900000,0 days 00:09:24.367000,563,565
80,108,260,143,152,21736,2022-09-22 10:14:37.034,2022-09-22 10:14:37.274,0.24,medium,medium_small,0 days 00:09:27.034000,0 days 00:09:27.274000,566,568
82,417,583,170,166,28220,2022-09-22 10:14:36.887,2022-09-22 10:14:37.355,0.468,medium,medium,0 days 00:09:26.887000,0 days 00:09:27.355000,566,568
84,93,273,154,180,27720,2022-09-22 10:14:40.275,2022-09-22 10:14:40.661,0.386,medium,medium_big,0 days 00:09:30.275000,0 days 00:09:30.661000,569,571
86,106,285,199,179,35621,2022-09-22 10:14:49.981,2022-09-22 10:14:50.501,0.52,medium,medium_big,0 days 00:09:39.981000,0 days 00:09:40.501000,579,581
88,78,249,154,171,26334,2022-09-22 10:15:03.301,2022-09-22 10:15:03.715,0.414,medium,medium_big,0 days 00:09:53.301000,0 days 00:09:53.715000,592,594
90,386,532,141,146,20586,2022-09-22 10:15:59.664,2022-09-22 10:16:00.037,0.373,medium,medium_small,0 days 00:10:49.664000,0 days 00:10:50.037000,648,650
92,357,550,254,193,49022,2022-09-22 10:16:15.038,2022-09-22 10:16:15.464,0.426,medium,medium_big,0 days 00:11:05.038000,0 days 00:11:05.464000,664,666
94,365,537,169,172,29068,2022-09-22 10:16:25.958,2022-09-22 10:16:26.384,0.426,medium,medium_big,0 days 00:11:15.958000,0 days 00:11:16.384000,675,677
96,389,540,146,151,22046,2022-09-22 10:16:52.132,2022-09-22 10:16:52.452,0.32,medium,medium_small,0 days 00:11:42.132000,0 days 00:11:42.452000,701,703
98,442,511,166,69,11454,2022-09-22 10:17:06.492,2022-09-22 10:17:06.586,0.094,small,small,0 days 00:11:56.492000,0 days 00:11:56.586000,715,717
100,72,246,173,174,30102,2022-09-22 10:17:17.906,2022-09-22 10:17:18.213,0.307,medium,medium_big,0 days 00:12:07.906000,0 days 00:12:08.213000,727,729
102,370,529,151,159,24009,2022-09-22 10:17:26.653,2022-09-22 10:17:27.053,0.4,medium,medium_small,0 days 00:12:16.653000,0 days 00:12:17.053000,735,737
104,79,146,183,67,12261,2022-09-22 10:18:23.563,2022-09-22 10:18:23.723,0.16,small,small,0 days 00:13:13.563000,0 days 00:13:13.723000,792,794
106,86,250,180,164,29520,2022-09-22 10:18:35.403,2022-09-22 10:18:35.963,0.56,medium,medium,0 days 00:13:25.403000,0 days 00:13:25.963000,804,806
108,387,561,149,174,25926,2022-09-22 10:18:36.109,2022-09-22 10:18:36.536,0.427,medium,medium_big,0 days 00:13:26.109000,0 days 00:13:26.536000,805,807
110,100,254,148,154,22792,2022-09-22 10:18:38.829,2022-09-22 10:18:39.163,0.334,medium,medium_small,0 days 00:13:28.829000,0 days 00:13:29.163000,807,809
112,124,303,167,179,29893,2022-09-22 10:19:27.685,2022-09-22 10:19:28.057,0.372,medium,medium_big,0 days 00:14:17.685000,0 days 00:14:18.057000,856,858
114,99,273,147,174,25578,2022-09-22 10:19:29.511,2022-09-22 10:19:29.911,0.4,medium,medium_big,0 days 00:14:19.511000,0 days 00:14:19.911000,858,860
116,63,305,340,242,82280,2022-09-22 10:19:48.058,2022-09-22 10:19:50.126,2.068,large,large,0 days 00:14:38.058000,0 days 00:14:40.126000,878,880
