,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
0,120,283,155,163,25265,2022-09-22 10:00:01.709,2022-09-22 10:00:02.164,0.455,medium,medium,-1 days +23:59:59.545000,0 days 00:00:00,-1,0
2,168,336,159,168,26712,2022-09-22 10:00:11.324,2022-09-22 10:00:11.604,0.28,medium,medium,0 days 00:00:09.160000,0 days 00:00:09.440000,8,10
4,118,290,199,172,34228,2022-09-22 10:00:48.591,2022-09-22 10:00:49.006,0.415,medium,medium_big,0 days 00:00:46.427000,0 days 00:00:46.842000,45,47
6,350,500,168,150,25200,2022-09-22 10:01:00.752,2022-09-22 10:01:01.206,0.454,medium,medium_small,0 days 00:00:58.588000,0 days 00:00:59.042000,57,59
8,120,279,161,159,25599,2022-09-22 10:01:15.099,2022-09-22 10:01:15.419,0.32,medium,medium_small,0 days 00:01:12.935000,0 days 00:01:13.255000,72,74
10,398,567,182,169,30758,2022-09-22 10:01:20.992,2022-09-22 10:01:21.352,0.36,medium,medium,0 days 00:01:18.828000,0 days 00:01:19.188000,78,80
12,440,498,162,58,9396,2022-09-22 10:02:00.408,2022-09-22 10:02:00.514,0.106,small,small,0 days 00:01:58.244000,0 days 00:01:58.350000,117,119
14,125,288,152,163,24776,2022-09-22 10:02:05.181,2022-09-22 10:02:05.581,0.4,medium,medium,0 days 00:02:03.017000,0 days 00:02:03.417000,122,124
16,115,284,162,169,27378,2022-09-22 10:02:08.821,2022-09-22 10:02:09.234,0.413,medium,medium,0 days 00:02:06.657000,0 days 00:02:07.070000,125,127
18,369,526,159,157,24963,2022-09-22 10:03:55.638,2022-09-22 10:03:56.038,0.4,medium,medium_small,0 days 00:03:53.474000,0 days 00:03:53.874000,232,234
20,360,526,152,166,25232,2022-09-22 10:04:14.719,2022-09-22 10:04:15.133,0.414,medium,medium,0 days 00:04:12.555000,0 days 00:04:12.969000,251,253
22,137,297,149,160,23840,2022-09-22 10:04:39.360,2022-09-22 10:04:39.706,0.346,medium,medium_small,0 days 00:04:37.196000,0 days 00:04:37.542000,276,278
24,109,265,161,156,25116,2022-09-22 10:04:53.307,2022-09-22 10:04:53.640,0.333,medium,medium_small,0 days 00:04:51.143000,0 days 00:04:51.476000,290,292
26,394,555,150,161,24150,2022-09-22 10:05:07.520,2022-09-22 10:05:07.935,0.415,medium,medium,0 days 00:05:05.356000,0 days 00:05:05.771000,304,306
28,225,393,188,168,31584,2022-09-22 10:05:20.708,2022-09-22 10:05:21.255,0.547,medium,medium,0 days 00:05:18.544000,0 days 00:05:19.091000,317,319
30,147,312,185,165,30525,2022-09-22 10:05:58.322,2022-09-22 10:05:58.682,0.36,medium,medium,0 days 00:05:56.158000,0 days 00:05:56.518000,355,357
32,344,590,340,246,83640,2022-09-22 10:06:33.510,2022-09-22 10:06:35.804,2.294,large,large,0 days 00:06:31.346000,0 days 00:06:33.640000,391,393
34,362,539,145,177,25665,2022-09-22 10:06:53.551,2022-09-22 10:06:53.964,0.413,medium,medium_big,0 days 00:06:51.387000,0 days 00:06:51.800000,410,412
36,471,542,158,71,11218,2022-09-22 10:07:05.711,2022-09-22 10:07:05.831,0.12,small,small,0 days 00:07:03.547000,0 days 00:07:03.667000,422,424
38,294,364,169,70,11830,2022-09-22 10:07:06.245,2022-09-22 10:07:06.351,0.106,small,small,0 days 00:07:04.081000,0 days 00:07:04.187000,423,425
40,372,542,200,170,34000,2022-09-22 10:07:54.300,2022-09-22 10:07:54.820,0.52,medium,medium,0 days 00:07:52.136000,0 days 00:07:52.656000,471,473
