,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
0,341,501,170,160,27200,2022-09-27 12:00:01.477,2022-09-27 12:00:01.931,0.454,medium,medium_small,-1 days +23:39:45.703000,-1 days +23:39:46.157000,-1215,-1213
1,380,546,164,166,27224,2022-09-27 12:00:40.412,2022-09-27 12:00:41.772,1.36,medium,medium,-1 days +23:40:24.638000,-1 days +23:40:25.998000,-1175,-1173
2,345,527,194,182,35308,2022-09-27 12:00:53.079,2022-09-27 12:00:53.546,0.467,medium,medium_big,-1 days +23:40:37.305000,-1 days +23:40:37.772000,-1163,-1161
3,356,529,153,173,26469,2022-09-27 12:00:55.319,2022-09-27 12:00:55.839,0.52,medium,medium_big,-1 days +23:40:39.545000,-1 days +23:40:40.065000,-1161,-1159
4,103,258,168,155,26040,2022-09-27 12:01:17.213,2022-09-27 12:01:17.600,0.387,medium,medium_small,-1 days +23:41:01.439000,-1 days +23:41:01.826000,-1139,-1137
5,405,561,160,156,24960,2022-09-27 12:01:24.628,2022-09-27 12:01:24.988,0.36,medium,medium_small,-1 days +23:41:08.854000,-1 days +23:41:09.214000,-1131,-1129
6,87,253,146,166,24236,2022-09-27 12:01:26.400,2022-09-27 12:01:26.828,0.428,medium,medium,-1 days +23:41:10.626000,-1 days +23:41:11.054000,-1130,-1128
7,92,259,166,167,27722,2022-09-27 12:02:04.349,2022-09-27 12:02:04.735,0.386,medium,medium,-1 days +23:41:48.575000,-1 days +23:41:48.961000,-1092,-1090
8,376,546,150,170,25500,2022-09-27 12:02:20.282,2022-09-27 12:02:20.642,0.36,medium,medium,-1 days +23:42:04.508000,-1 days +23:42:04.868000,-1076,-1074
9,405,560,145,155,22475,2022-09-27 12:02:23.190,2022-09-27 12:02:23.536,0.346,medium,medium_small,-1 days +23:42:07.416000,-1 days +23:42:07.762000,-1073,-1071
10,113,274,170,161,27370,2022-09-27 12:02:32.242,2022-09-27 12:02:32.630,0.388,medium,medium,-1 days +23:42:16.468000,-1 days +23:42:16.856000,-1064,-1062
11,138,303,189,165,31185,2022-09-27 12:02:46.097,2022-09-27 12:02:46.576,0.479,medium,medium,-1 days +23:42:30.323000,-1 days +23:42:30.802000,-1050,-1048
12,142,214,168,72,12096,2022-09-27 12:02:57.951,2022-09-27 12:02:58.043,0.092,small,small,-1 days +23:42:42.177000,-1 days +23:42:42.269000,-1038,-1036
13,412,579,163,167,27221,2022-09-27 12:03:22.724,2022-09-27 12:03:22.992,0.268,medium,medium,-1 days +23:43:06.950000,-1 days +23:43:07.218000,-1013,-1011
14,103,269,163,166,27058,2022-09-27 12:03:35.018,2022-09-27 12:03:35.352,0.334,medium,medium,-1 days +23:43:19.244000,-1 days +23:43:19.578000,-1001,-999
15,84,254,187,170,31790,2022-09-27 12:03:40.245,2022-09-27 12:03:40.645,0.4,medium,medium,-1 days +23:43:24.471000,-1 days +23:43:24.871000,-996,-994
16,158,228,172,70,12040,2022-09-27 12:03:56.673,2022-09-27 12:03:56.766,0.093,small,small,-1 days +23:43:40.899000,-1 days +23:43:40.992000,-980,-978
17,112,282,144,170,24480,2022-09-27 12:04:02.739,2022-09-27 12:04:03.059,0.32,medium,medium,-1 days +23:43:46.965000,-1 days +23:43:47.285000,-973,-971
18,346,514,171,168,28728,2022-09-27 12:04:19.674,2022-09-27 12:04:20.006,0.332,medium,medium,-1 days +23:44:03.900000,-1 days +23:44:04.232000,-956,-954
