,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
67,109,166,164,57,9348,2022-09-27 12:20:33.334,2022-09-27 12:20:33.480,0.146,small,small,0 days 00:00:17.560000,0 days 00:00:17.706000,16.633,18.633
68,112,273,188,161,30268,2022-09-27 12:20:44.521,2022-09-27 12:20:44.894,0.373,medium,medium,0 days 00:00:28.747000,0 days 00:00:29.120000,27.933500000000002,29.933500000000002
69,360,516,145,156,22620,2022-09-27 12:22:23.098,2022-09-27 12:22:23.524,0.426,medium,medium_small,0 days 00:02:07.324000,0 days 00:02:07.750000,126.537,128.537
70,346,512,157,166,26062,2022-09-27 12:22:36.592,2022-09-27 12:22:37.152,0.56,medium,medium,0 days 00:02:20.818000,0 days 00:02:21.378000,140.098,142.098
71,88,255,172,167,28724,2022-09-27 12:22:55.459,2022-09-27 12:22:55.819,0.36,medium,medium,0 days 00:02:39.685000,0 days 00:02:40.045000,158.865,160.865
72,80,240,161,160,25760,2022-09-27 12:23:23.086,2022-09-27 12:23:23.446,0.36,medium,medium_small,0 days 00:03:07.312000,0 days 00:03:07.672000,186.49200000000002,188.49200000000002
73,352,518,163,166,27058,2022-09-27 12:24:04.115,2022-09-27 12:24:04.648,0.533,medium,medium,0 days 00:03:48.341000,0 days 00:03:48.874000,227.60750000000002,229.60750000000002
74,99,284,168,185,31080,2022-09-27 12:24:08.595,2022-09-27 12:24:08.995,0.4,medium,medium_big,0 days 00:03:52.821000,0 days 00:03:53.221000,232.02100000000002,234.02100000000002
75,106,270,196,164,32144,2022-09-27 12:24:25.088,2022-09-27 12:24:25.328,0.24,medium,medium,0 days 00:04:09.314000,0 days 00:04:09.554000,248.434,250.434
76,393,557,155,164,25420,2022-09-27 12:24:27.982,2022-09-27 12:24:28.422,0.44,medium,medium,0 days 00:04:12.208000,0 days 00:04:12.648000,251.428,253.428
77,317,562,341,245,83545,2022-09-27 12:24:40.889,2022-09-27 12:24:43.196,2.307,large,large,0 days 00:04:25.115000,0 days 00:04:27.422000,265.2685,267.2685
78,381,569,265,188,49820,2022-09-27 12:24:50.797,2022-09-27 12:24:51.329,0.532,medium,medium_big,0 days 00:04:35.023000,0 days 00:04:35.555000,274.289,276.289
79,96,140,148,44,6512,2022-09-27 12:24:54.503,2022-09-27 12:24:54.597,0.094,small,small,0 days 00:04:38.729000,0 days 00:04:38.823000,277.77599999999995,279.77599999999995
80,137,173,156,36,5616,2022-09-27 12:24:54.809,2022-09-27 12:24:54.957,0.148,small,small,0 days 00:04:39.035000,0 days 00:04:39.183000,278.10900000000004,280.10900000000004
81,74,117,166,43,7138,2022-09-27 12:24:55.077,2022-09-27 12:24:55.169,0.092,small,small,0 days 00:04:39.303000,0 days 00:04:39.395000,278.349,280.349
