,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,timedelta_start,timedelta_end,audio_start_s,audio_end_s,class_1,class_2
30,370,544,166,174,28884,2022-11-01 09:09:25.227,2022-11-01 09:09:25.640,0.41300000000000003,0 days 00:00:03.227000,0 days 00:00:03.640000,2.4335000000000004,4.4335,medium,medium_big
31,128,283,146,155,22630,2022-11-01 09:09:37.840,2022-11-01 09:09:38.094,0.254,0 days 00:00:15.840000,0 days 00:00:16.094000,14.967000000000002,16.967000000000002,medium,medium_small
32,154,327,169,173,29237,2022-11-01 09:10:11.509,2022-11-01 09:10:11.855,0.34600000000000003,0 days 00:00:49.509000,0 days 00:00:49.855000,48.682,50.682,medium,medium_big
33,386,554,146,168,24528,2022-11-01 09:10:27.802,2022-11-01 09:10:28.135,0.333,0 days 00:01:05.802000,0 days 00:01:06.135000,64.9685,66.9685,medium,medium
34,156,322,192,166,31872,2022-11-01 09:10:41.936,2022-11-01 09:10:42.670,0.7340000000000001,0 days 00:01:19.936000,0 days 00:01:20.670000,79.303,81.303,medium,medium
35,97,264,169,167,28223,2022-11-01 09:11:57.618,2022-11-01 09:11:58.019,0.401,0 days 00:02:35.618000,0 days 00:02:36.019000,154.81850000000003,156.81850000000003,medium,medium
36,383,555,168,172,28896,2022-11-01 09:12:12.939,2022-11-01 09:12:13.286,0.34700000000000003,0 days 00:02:50.939000,0 days 00:02:51.286000,170.1125,172.1125,medium,medium_big
37,394,553,150,159,23850,2022-11-01 09:12:15.419,2022-11-01 09:12:15.779,0.36000000000000004,0 days 00:02:53.419000,0 days 00:02:53.779000,172.59900000000002,174.59900000000002,medium,medium_small
38,62,301,337,239,80543,2022-11-01 09:12:52.914,2022-11-01 09:12:55.181,2.2670000000000003,0 days 00:03:30.914000,0 days 00:03:33.181000,211.0475,213.0475,large,large
39,135,293,162,158,25596,2022-11-01 09:12:59.355,2022-11-01 09:12:59.767,0.41200000000000003,0 days 00:03:37.355000,0 days 00:03:37.767000,216.56100000000004,218.56100000000004,medium,medium_small
40,125,298,168,173,29064,2022-11-01 09:13:01.847,2022-11-01 09:13:02.327,0.48000000000000004,0 days 00:03:39.847000,0 days 00:03:40.327000,219.08700000000002,221.08700000000002,medium,medium_big
41,131,293,159,162,25758,2022-11-01 09:13:50.609,2022-11-01 09:13:50.902,0.29300000000000004,0 days 00:04:28.609000,0 days 00:04:28.902000,267.75550000000004,269.75550000000004,medium,medium
42,35,262,419,227,95113,2022-11-01 09:14:35.518,2022-11-01 09:14:36.024,0.506,0 days 00:05:13.518000,0 days 00:05:14.024000,312.771,314.771,large,large
43,211,262,166,51,8466,2022-11-01 09:14:38.118,2022-11-01 09:14:38.118,0.0,0 days 00:05:16.118000,0 days 00:05:16.118000,315.118,317.118,small,small
44,69,129,159,60,9540,2022-11-01 09:14:38.131,2022-11-01 09:14:38.131,0.0,0 days 00:05:16.131000,0 days 00:05:16.131000,315.13100000000003,317.13100000000003,small,small
45,370,609,351,239,83889,2022-11-01 09:14:38.584,2022-11-01 09:14:39.851,1.2670000000000001,0 days 00:05:16.584000,0 days 00:05:17.851000,316.2175,318.2175,large,large
46,84,264,181,180,32580,2022-11-01 09:14:39.958,2022-11-01 09:14:40.611,0.653,0 days 00:05:17.958000,0 days 00:05:18.611000,317.28450000000004,319.28450000000004,medium,medium_big
47,370,555,169,185,31265,2022-11-01 09:15:04.439,2022-11-01 09:15:04.851,0.41200000000000003,0 days 00:05:42.439000,0 days 00:05:42.851000,341.645,343.645,medium,medium_big
48,372,529,148,157,23236,2022-11-01 09:15:06.772,2022-11-01 09:15:07.119,0.34700000000000003,0 days 00:05:44.772000,0 days 00:05:45.119000,343.94550000000004,345.94550000000004,medium,medium_small
49,150,307,159,157,24963,2022-11-01 09:15:20.039,2022-11-01 09:15:20.332,0.29300000000000004,0 days 00:05:58.039000,0 days 00:05:58.332000,357.18550000000005,359.18550000000005,medium,medium_small
50,333,581,340,248,84320,2022-11-01 09:15:38.560,2022-11-01 09:15:40.746,2.186,0 days 00:06:16.560000,0 days 00:06:18.746000,376.653,378.653,large,large
51,268,421,147,153,22491,2022-11-01 09:15:58.601,2022-11-01 09:15:58.867,0.266,0 days 00:06:36.601000,0 days 00:06:36.867000,395.73400000000004,397.73400000000004,medium,medium_small
52,115,275,174,160,27840,2022-11-01 09:16:24.227,2022-11-01 09:16:24.587,0.36000000000000004,0 days 00:07:02.227000,0 days 00:07:02.587000,421.40700000000004,423.40700000000004,medium,medium_small
53,346,504,153,158,24174,2022-11-01 09:16:31.548,2022-11-01 09:16:31.894,0.34600000000000003,0 days 00:07:09.548000,0 days 00:07:09.894000,428.721,430.721,medium,medium_small
54,114,287,149,173,25777,2022-11-01 09:17:20.309,2022-11-01 09:17:20.816,0.507,0 days 00:07:58.309000,0 days 00:07:58.816000,477.5625,479.5625,medium,medium_big
55,393,558,163,165,26895,2022-11-01 09:18:07.045,2022-11-01 09:18:07.431,0.386,0 days 00:08:45.045000,0 days 00:08:45.431000,524.238,526.238,medium,medium
56,83,248,162,165,26730,2022-11-01 09:18:10.045,2022-11-01 09:18:10.351,0.306,0 days 00:08:48.045000,0 days 00:08:48.351000,527.1980000000001,529.1980000000001,medium,medium
57,109,274,178,165,29370,2022-11-01 09:18:26.646,2022-11-01 09:18:26.992,0.34600000000000003,0 days 00:09:04.646000,0 days 00:09:04.992000,543.8190000000001,545.8190000000001,medium,medium
58,58,301,337,243,81891,2022-11-01 09:18:32.778,2022-11-01 09:18:34.979,2.201,0 days 00:09:10.778000,0 days 00:09:12.979000,550.8785,552.8785,large,large
59,90,267,144,177,25488,2022-11-01 09:18:36.459,2022-11-01 09:18:36.899,0.44,0 days 00:09:14.459000,0 days 00:09:14.899000,553.6790000000001,555.6790000000001,medium,medium_big
60,114,271,144,157,22608,2022-11-01 09:18:39.512,2022-11-01 09:18:39.926,0.41400000000000003,0 days 00:09:17.512000,0 days 00:09:17.926000,556.719,558.719,medium,medium_small
61,125,302,151,177,26727,2022-11-01 09:18:54.473,2022-11-01 09:18:54.859,0.386,0 days 00:09:32.473000,0 days 00:09:32.859000,571.666,573.666,medium,medium_big
62,348,563,296,215,63640,2022-11-01 09:19:36.980,2022-11-01 09:19:37.594,0.614,0 days 00:10:14.980000,0 days 00:10:15.594000,614.287,616.287,large,large
63,351,511,146,160,23360,2022-11-01 09:19:39.794,2022-11-01 09:19:40.234,0.44,0 days 00:10:17.794000,0 days 00:10:18.234000,617.014,619.014,medium,medium_small
64,389,552,184,163,29992,2022-11-01 09:19:44.354,2022-11-01 09:19:44.821,0.467,0 days 00:10:22.354000,0 days 00:10:22.821000,621.5875000000001,623.5875000000001,medium,medium
65,109,159,169,50,8450,2022-11-01 09:20:11.822,2022-11-01 09:20:11.942,0.12000000000000001,0 days 00:10:49.822000,0 days 00:10:49.942000,648.8820000000001,650.8820000000001,small,small
66,387,547,146,160,23360,2022-11-01 09:20:29.862,2022-11-01 09:20:30.222,0.36000000000000004,0 days 00:11:07.862000,0 days 00:11:08.222000,667.0420000000001,669.0420000000001,medium,medium_small
67,351,519,161,168,27048,2022-11-01 09:20:31.276,2022-11-01 09:20:31.742,0.466,0 days 00:11:09.276000,0 days 00:11:09.742000,668.509,670.509,medium,medium
68,131,284,161,153,24633,2022-11-01 09:20:50.997,2022-11-01 09:20:51.251,0.254,0 days 00:11:28.997000,0 days 00:11:29.251000,688.124,690.124,medium,medium_small
69,381,561,142,180,25560,2022-11-01 09:21:17.892,2022-11-01 09:21:18.344,0.452,0 days 00:11:55.892000,0 days 00:11:56.344000,715.118,717.118,medium,medium_big
70,117,288,156,171,26676,2022-11-01 09:21:27.692,2022-11-01 09:21:28.052,0.36000000000000004,0 days 00:12:05.692000,0 days 00:12:06.052000,724.8720000000001,726.8720000000001,medium,medium_big
71,388,549,149,161,23989,2022-11-01 09:21:35.105,2022-11-01 09:21:35.518,0.41300000000000003,0 days 00:12:13.105000,0 days 00:12:13.518000,732.3115,734.3115,medium,medium
72,97,266,245,169,41405,2022-11-01 09:21:35.812,2022-11-01 09:21:36.545,0.7330000000000001,0 days 00:12:13.812000,0 days 00:12:14.545000,733.1785,735.1785,medium,medium
73,396,564,169,168,28392,2022-11-01 09:21:36.772,2022-11-01 09:21:37.212,0.44,0 days 00:12:14.772000,0 days 00:12:15.212000,733.992,735.992,medium,medium
74,75,243,149,168,25032,2022-11-01 09:21:43.825,2022-11-01 09:21:44.225,0.4,0 days 00:12:21.825000,0 days 00:12:22.225000,741.0250000000001,743.0250000000001,medium,medium
75,365,524,156,159,24804,2022-11-01 09:22:17.613,2022-11-01 09:22:18.014,0.401,0 days 00:12:55.613000,0 days 00:12:56.014000,774.8135,776.8135,medium,medium_small
76,414,580,169,166,28054,2022-11-01 09:22:39.800,2022-11-01 09:22:40.200,0.4,0 days 00:13:17.800000,0 days 00:13:18.200000,797.0,799.0,medium,medium
77,98,270,182,172,31304,2022-11-01 09:22:58.401,2022-11-01 09:22:58.761,0.36000000000000004,0 days 00:13:36.401000,0 days 00:13:36.761000,815.5810000000001,817.5810000000001,medium,medium_big
78,67,306,352,239,84128,2022-11-01 09:23:26.856,2022-11-01 09:23:27.962,1.106,0 days 00:14:04.856000,0 days 00:14:05.962000,844.4090000000001,846.4090000000001,large,large
79,392,567,194,175,33950,2022-11-01 09:23:28.496,2022-11-01 09:23:28.976,0.48000000000000004,0 days 00:14:06.496000,0 days 00:14:06.976000,845.7360000000001,847.7360000000001,medium,medium_big
80,392,569,168,177,29736,2022-11-01 09:23:30.508,2022-11-01 09:23:30.936,0.42800000000000005,0 days 00:14:08.508000,0 days 00:14:08.936000,847.722,849.722,medium,medium_big
81,348,525,262,177,46374,2022-11-01 09:23:38.989,2022-11-01 09:23:39.549,0.56,0 days 00:14:16.989000,0 days 00:14:17.549000,856.269,858.269,medium,medium_big
82,86,295,231,209,48279,2022-11-01 09:23:48.869,2022-11-01 09:23:49.337,0.468,0 days 00:14:26.869000,0 days 00:14:27.337000,866.1030000000001,868.1030000000001,medium,medium_big
83,103,265,206,162,33372,2022-11-01 09:23:52.363,2022-11-01 09:23:52.749,0.386,0 days 00:14:30.363000,0 days 00:14:30.749000,869.556,871.556,medium,medium
84,121,283,157,162,25434,2022-11-01 09:23:54.923,2022-11-01 09:23:55.269,0.34600000000000003,0 days 00:14:32.923000,0 days 00:14:33.269000,872.096,874.096,medium,medium
85,111,287,143,176,25168,2022-11-01 09:24:08.163,2022-11-01 09:24:08.497,0.334,0 days 00:14:46.163000,0 days 00:14:46.497000,885.33,887.33,medium,medium_big
86,354,523,158,169,26702,2022-11-01 09:24:34.391,2022-11-01 09:24:34.658,0.267,0 days 00:15:12.391000,0 days 00:15:12.658000,911.5245,913.5245,medium,medium
87,342,592,339,250,84750,2022-11-01 09:25:10.285,2022-11-01 09:25:13.380,3.095,0 days 00:15:48.285000,0 days 00:15:51.380000,948.8325000000001,950.8325000000001,large,large
88,99,146,178,47,8366,2022-11-01 09:25:18.832,2022-11-01 09:25:18.966,0.134,0 days 00:15:56.832000,0 days 00:15:56.966000,955.8990000000001,957.8990000000001,small,small
89,346,512,165,166,27390,2022-11-01 09:25:52.061,2022-11-01 09:25:52.633,0.5720000000000001,0 days 00:16:30.061000,0 days 00:16:30.633000,989.347,991.347,medium,medium
90,94,253,146,159,23214,2022-11-01 09:26:04.847,2022-11-01 09:26:05.221,0.374,0 days 00:16:42.847000,0 days 00:16:43.221000,1002.0340000000001,1004.0340000000001,medium,medium_small
91,102,279,189,177,33453,2022-11-01 09:26:08.594,2022-11-01 09:26:09.074,0.48000000000000004,0 days 00:16:46.594000,0 days 00:16:47.074000,1005.8340000000001,1007.8340000000001,medium,medium_big
92,120,302,175,182,31850,2022-11-01 09:26:11.447,2022-11-01 09:26:11.914,0.467,0 days 00:16:49.447000,0 days 00:16:49.914000,1008.6805000000002,1010.6805000000002,medium,medium_big
