,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s
598,144,303,189,159,30051,2022-10-21 11:40:47.014,2022-10-21 11:40:47.440,0.426,medium,medium_small,0 days 00:00:36.014000,0 days 00:00:36.440000,35.227000000000004,37.227000000000004
599,108,283,151,175,26425,2022-10-21 11:41:17.508,2022-10-21 11:41:17.881,0.373,medium,medium_big,0 days 00:01:06.508000,0 days 00:01:06.881000,65.6945,67.6945
600,124,283,143,159,22737,2022-10-21 11:41:30.388,2022-10-21 11:41:30.696,0.308,medium,medium_small,0 days 00:01:19.388000,0 days 00:01:19.696000,78.542,80.542
601,357,528,141,171,24111,2022-10-21 11:41:53.696,2022-10-21 11:41:54.149,0.453,medium,medium_big,0 days 00:01:42.696000,0 days 00:01:43.149000,101.9225,103.9225
602,102,279,166,177,29382,2022-10-21 11:42:15.577,2022-10-21 11:42:15.923,0.346,medium,medium_big,0 days 00:02:04.577000,0 days 00:02:04.923000,123.75,125.75
603,379,557,169,178,30082,2022-10-21 11:42:25.350,2022-10-21 11:42:25.737,0.387,medium,medium_big,0 days 00:02:14.350000,0 days 00:02:14.737000,133.5435,135.5435
604,158,331,169,173,29237,2022-10-21 11:42:34.138,2022-10-21 11:42:34.550,0.412,medium,medium_big,0 days 00:02:23.138000,0 days 00:02:23.550000,142.344,144.344
605,114,289,176,175,30800,2022-10-21 11:43:04.899,2022-10-21 11:43:05.272,0.373,medium,medium_big,0 days 00:02:53.899000,0 days 00:02:54.272000,173.0855,175.0855
606,399,541,149,142,21158,2022-10-21 11:43:20.499,2022-10-21 11:43:20.765,0.266,medium,medium_small,0 days 00:03:09.499000,0 days 00:03:09.765000,188.632,190.632
607,115,283,172,168,28896,2022-10-21 11:43:28.712,2022-10-21 11:43:29.073,0.361,medium,medium,0 days 00:03:17.712000,0 days 00:03:18.073000,196.89249999999998,198.89249999999998
608,157,317,148,160,23680,2022-10-21 11:43:41.860,2022-10-21 11:43:42.273,0.413,medium,medium_small,0 days 00:03:30.860000,0 days 00:03:31.273000,210.06650000000002,212.06650000000002
609,66,294,362,228,82536,2022-10-21 11:43:53.941,2022-10-21 11:43:55.421,1.48,large,large,0 days 00:03:42.941000,0 days 00:03:44.421000,222.68099999999998,224.68099999999998
610,347,522,146,175,25550,2022-10-21 11:44:00.954,2022-10-21 11:44:01.314,0.36,medium,medium_big,0 days 00:03:49.954000,0 days 00:03:50.314000,229.13400000000001,231.13400000000001
611,336,512,157,176,27632,2022-10-21 11:44:32.408,2022-10-21 11:44:32.928,0.52,medium,medium_big,0 days 00:04:21.408000,0 days 00:04:21.928000,260.668,262.668
612,351,506,148,155,22940,2022-10-21 11:44:45.235,2022-10-21 11:44:45.808,0.573,medium,medium_small,0 days 00:04:34.235000,0 days 00:04:34.808000,273.5215,275.5215
613,390,554,168,164,27552,2022-10-21 11:45:02.663,2022-10-21 11:45:03.089,0.426,medium,medium,0 days 00:04:51.663000,0 days 00:04:52.089000,290.876,292.876
614,408,552,161,144,23184,2022-10-21 11:45:04.729,2022-10-21 11:45:05.063,0.334,medium,medium_small,0 days 00:04:53.729000,0 days 00:04:54.063000,292.89599999999996,294.89599999999996
615,103,288,163,185,30155,2022-10-21 11:45:07.369,2022-10-21 11:45:07.756,0.387,medium,medium_big,0 days 00:04:56.369000,0 days 00:04:56.756000,295.5625,297.5625
616,146,307,163,161,26243,2022-10-21 11:45:54.718,2022-10-21 11:45:55.078,0.36,medium,medium,0 days 00:05:43.718000,0 days 00:05:44.078000,342.898,344.898
617,111,273,155,162,25110,2022-10-21 11:46:07.318,2022-10-21 11:46:07.625,0.307,medium,medium,0 days 00:05:56.318000,0 days 00:05:56.625000,355.4715,357.4715
618,124,362,334,238,79492,2022-10-21 11:46:21.026,2022-10-21 11:46:22.026,1.0,large,large,0 days 00:06:10.026000,0 days 00:06:11.026000,369.526,371.526
619,58,217,148,159,23532,2022-10-21 11:46:58.773,2022-10-21 11:46:59.213,0.44,medium,medium_small,0 days 00:06:47.773000,0 days 00:06:48.213000,406.99300000000005,408.99300000000005
620,357,605,337,248,83576,2022-10-21 11:47:01.213,2022-10-21 11:47:03.587,2.374,large,large,0 days 00:06:50.213000,0 days 00:06:52.587000,410.4,412.4
621,351,510,147,159,23373,2022-10-21 11:47:08.800,2022-10-21 11:47:09.308,0.508,medium,medium_small,0 days 00:06:57.800000,0 days 00:06:58.308000,417.054,419.054
622,347,519,151,172,25972,2022-10-21 11:47:15.320,2022-10-21 11:47:15.708,0.388,medium,medium_big,0 days 00:07:04.320000,0 days 00:07:04.708000,423.514,425.514
623,62,237,186,175,32550,2022-10-21 11:47:17.601,2022-10-21 11:47:18.094,0.493,medium,medium_big,0 days 00:07:06.601000,0 days 00:07:07.094000,425.84749999999997,427.84749999999997
624,341,498,156,157,24492,2022-10-21 11:49:06.832,2022-10-21 11:49:07.164,0.332,medium,medium_small,0 days 00:08:55.832000,0 days 00:08:56.164000,534.998,536.998
625,64,308,338,244,82472,2022-10-21 11:49:48.233,2022-10-21 11:49:50.459,2.226,large,large,0 days 00:09:37.233000,0 days 00:09:39.459000,577.346,579.346
626,96,262,144,166,23904,2022-10-21 11:49:52.979,2022-10-21 11:49:53.379,0.4,medium,medium,0 days 00:09:41.979000,0 days 00:09:42.379000,581.1790000000001,583.1790000000001
627,106,274,160,168,26880,2022-10-21 11:49:55.274,2022-10-21 11:49:55.673,0.399,medium,medium,0 days 00:09:44.274000,0 days 00:09:44.673000,583.4735000000001,585.4735000000001
628,99,265,161,166,26726,2022-10-21 11:49:58.446,2022-10-21 11:49:58.859,0.413,medium,medium,0 days 00:09:47.446000,0 days 00:09:47.859000,586.6525,588.6525
629,319,585,351,266,93366,2022-10-21 11:50:21.660,2022-10-21 11:50:22.647,0.987,large,large,0 days 00:10:10.660000,0 days 00:10:11.647000,610.1535,612.1535
