iter	Passed	Remaining
0	16	16443
1	32	16230
2	49	16592
3	74	18632
4	97	19438
5	114	18980
6	119	17020
7	148	18412
8	162	17884
9	178	17693
10	191	17232
11	211	17401
12	227	17281
13	246	17371
14	264	17366
15	272	16781
16	286	16589
17	303	16542
18	309	15995
19	328	16114
20	339	15831
21	355	15811
22	385	16374
23	396	16120
24	409	15954
25	430	16134
26	445	16061
27	463	16093
28	482	16151
29	495	16005
30	509	15915
31	521	15783
32	529	15518
33	541	15378
34	552	15222
35	563	15078
36	584	15209
37	600	15202
38	617	15226
39	627	15053
40	637	14921
41	647	14776
42	656	14606
43	663	14417
44	675	14325
45	690	14322
46	703	14262
47	713	14141
48	724	14063
49	737	14013
50	754	14033
51	766	13977
52	780	13944
53	790	13856
54	803	13806
55	813	13717
56	823	13627
57	832	13519
58	845	13481
59	851	13338
60	855	13176
61	861	13038
62	870	12953
63	879	12864
64	885	12743
65	890	12599
66	898	12509
67	903	12380
68	908	12254
69	913	12136
70	921	12053
71	928	11970
72	933	11860
73	937	11732
74	941	11615
75	947	11523
76	953	11424
77	959	11338
78	965	11251
79	969	11148
80	975	11065
81	981	10987
82	989	10933
83	998	10892
84	1002	10796
85	1008	10721
86	1014	10643
87	1021	10591
88	1026	10508
89	1032	10440
90	1037	10367
91	1042	10287
92	1046	10210
93	1049	10118
94	1055	10055
95	1060	9984
96	1063	9901
97	1066	9820
98	1070	9744
99	1073	9665
100	1079	9612
101	1083	9538
102	1088	9475
103	1091	9404
104	1096	9345
105	1101	9286
106	1104	9219
107	1109	9163
108	1112	9095
109	1116	9033
110	1120	8970
111	1122	8902
112	1126	8843
113	1129	8782
114	1134	8731
115	1137	8669
116	1141	8618
117	1145	8559
118	1149	8511
119	1153	8459
120	1157	8410
121	1161	8355
122	1164	8300
123	1167	8250
124	1171	8197
125	1175	8157
126	1179	8104
127	1183	8064
128	1187	8019
129	1192	7983
130	1196	7937
131	1200	7893
132	1204	7851
133	1208	7808
134	1211	7760
135	1215	7723
136	1219	7681
137	1223	7641
138	1227	7600
139	1231	7562
140	1234	7518
141	1237	7479
142	1240	7434
143	1243	7391
144	1247	7354
145	1250	7313
146	1254	7276
147	1257	7237
148	1261	7202
149	1264	7165
150	1268	7130
151	1271	7096
152	1275	7060
153	1279	7031
154	1283	6997
155	1287	6967
156	1293	6946
157	1296	6908
158	1300	6880
159	1304	6847
160	1307	6812
161	1314	6799
162	1318	6771
163	1321	6737
164	1326	6711
165	1329	6679
166	1333	6650
167	1336	6619
168	1341	6594
169	1343	6561
170	1347	6533
171	1351	6506
172	1354	6476
173	1358	6451
174	1362	6424
175	1370	6417
176	1375	6397
177	1379	6368
178	1383	6343
179	1386	6317
180	1391	6295
181	1394	6265
182	1398	6241
183	1402	6217
184	1405	6192
185	1409	6166
186	1412	6142
187	1417	6122
188	1422	6103
189	1426	6082
190	1433	6073
191	1437	6050
192	1441	6026
193	1445	6005
194	1449	5985
195	1454	5964
196	1457	5940
197	1462	5921
198	1465	5898
199	1468	5875
200	1473	5856
201	1476	5834
202	1481	5817
203	1487	5805
204	1491	5783
205	1496	5767
206	1499	5745
207	1504	5726
208	1508	5709
209	1513	5691
210	1516	5671
211	1521	5656
212	1525	5636
213	1530	5619
214	1534	5602
215	1538	5583
216	1543	5570
217	1548	5553
218	1552	5538
219	1557	5520
220	1562	5507
221	1566	5489
222	1570	5471
223	1575	5457
224	1579	5439
225	1585	5429
226	1589	5412
227	1594	5399
228	1598	5382
229	1602	5366
230	1607	5352
231	1611	5336
232	1616	5321
233	1619	5302
234	1624	5289
235	1628	5271
236	1633	5260
237	1637	5242
238	1643	5232
239	1648	5219
240	1651	5201
241	1656	5188
242	1659	5170
243	1663	5155
244	1667	5138
245	1671	5124
246	1674	5106
247	1679	5092
248	1682	5074
249	1686	5059
250	1690	5044
251	1694	5028
252	1697	5013
253	1701	4996
254	1705	4983
255	1709	4967
256	1713	4954
257	1716	4937
258	1721	4925
259	1724	4909
260	1729	4896
261	1732	4880
262	1737	4868
263	1740	4852
264	1745	4840
265	1748	4824
266	1753	4812
267	1756	4797
268	1760	4784
269	1764	4770
270	1769	4760
271	1772	4745
272	1777	4733
273	1780	4718
274	1785	4707
275	1788	4691
276	1793	4680
277	1796	4665
278	1800	4652
279	1804	4639
280	1808	4628
281	1812	4614
282	1821	4615
283	1829	4613
284	1836	4606
285	1843	4602
286	1852	4601
287	1856	4590
288	1862	4581
289	1868	4573
290	1872	4562
291	1878	4554
292	1882	4542
293	1885	4527
294	1890	4517
295	1892	4501
296	1896	4488
297	1899	4475
298	1902	4461
299	1907	4451
300	1911	4437
301	1915	4426
302	1918	4412
303	1922	4401
304	1925	4386
305	1929	4375
306	1931	4361
307	1935	4348
308	1939	4337
309	1942	4324
310	1946	4312
311	1949	4298
312	1953	4287
313	1956	4274
314	1960	4263
315	1963	4250
316	1966	4237
