,Unnamed: 0.1,Unnamed: 0,y0,y1,height,width,front_area,datetime_enter,datetime_leave,duration,class_1,class_2,timedelta_start,timedelta_end,audio_start_s,audio_end_s,entry,exit,filename,train
0,0,28,225,393,188,168,31584,2022-09-22 10:05:20.708,2022-09-22 10:05:21.255,0.547,medium,medium,0 days 00:00:10.708000,0 days 00:00:11.255000,9,11,10.708,11.255,train_0.wav,True
1,1,30,147,312,185,165,30525,2022-09-22 10:05:58.322,2022-09-22 10:05:58.682,0.36,medium,medium,0 days 00:00:48.322000,0 days 00:00:48.682000,47,49,48.322,48.682,train_1.wav,True
2,2,32,344,590,340,246,83640,2022-09-22 10:06:33.510,2022-09-22 10:06:35.804,2.294,large,large,0 days 00:01:23.510000,0 days 00:01:25.804000,83,85,83.51,85.804,train_2.wav,True
3,3,34,362,539,145,177,25665,2022-09-22 10:06:53.551,2022-09-22 10:06:53.964,0.413,medium,medium_big,0 days 00:01:43.551000,0 days 00:01:43.964000,102,104,103.551,103.964,train_3.wav,True
4,4,36,471,542,158,71,11218,2022-09-22 10:07:05.711,2022-09-22 10:07:05.831,0.12,small,small,0 days 00:01:55.711000,0 days 00:01:55.831000,114,116,115.711,115.831,train_4.wav,True
5,5,38,294,364,169,70,11830,2022-09-22 10:07:06.245,2022-09-22 10:07:06.351,0.106,small,small,0 days 00:01:56.245000,0 days 00:01:56.351000,115,117,116.245,116.351,train_5.wav,True
6,6,40,372,542,200,170,34000,2022-09-22 10:07:54.300,2022-09-22 10:07:54.820,0.52,medium,medium,0 days 00:02:44.300000,0 days 00:02:44.820000,163,165,164.3,164.82000000000002,train_6.wav,True
7,7,42,95,294,194,199,38606,2022-09-22 10:09:27.890,2022-09-22 10:09:28.344,0.454,medium,medium_big,0 days 00:04:17.890000,0 days 00:04:18.344000,257,259,257.89000000000004,258.344,train_7.wav,True
8,8,44,399,558,169,159,26871,2022-09-22 10:09:36.264,2022-09-22 10:09:36.610,0.346,medium,medium_small,0 days 00:04:26.264000,0 days 00:04:26.610000,265,267,266.264,266.61,train_8.wav,True
9,9,46,75,317,339,242,82038,2022-09-22 10:09:48.970,2022-09-22 10:09:51.251,2.281,large,large,0 days 00:04:38.970000,0 days 00:04:41.251000,279,281,278.97,281.25100000000003,train_9.wav,True
10,10,48,140,317,167,177,29559,2022-09-22 10:09:53.425,2022-09-22 10:09:53.837,0.412,medium,medium_big,0 days 00:04:43.425000,0 days 00:04:43.837000,282,284,283.425,283.83700000000005,train_10.wav,True
11,11,50,77,264,250,187,46750,2022-09-22 10:10:00.185,2022-09-22 10:10:00.611,0.426,medium,medium_big,0 days 00:04:50.185000,0 days 00:04:50.611000,289,291,290.185,290.611,train_11.wav,True
12,12,52,491,555,179,64,11456,2022-09-22 10:10:12.905,2022-09-22 10:10:13.065,0.16,small,small,0 days 00:05:02.905000,0 days 00:05:03.065000,301,303,302.90500000000003,303.065,train_12.wav,True
13,13,54,166,317,152,151,22952,2022-09-22 10:10:33.292,2022-09-22 10:10:33.746,0.454,medium,medium_small,0 days 00:05:23.292000,0 days 00:05:23.746000,322,324,323.29200000000003,323.74600000000004,train_13.wav,True
14,14,56,86,244,146,158,23068,2022-09-22 10:10:35.599,2022-09-22 10:10:36.066,0.467,medium,medium_small,0 days 00:05:25.599000,0 days 00:05:26.066000,324,326,325.59900000000005,326.06600000000003,train_14.wav,True
15,15,58,386,554,196,168,32928,2022-09-22 10:10:53.879,2022-09-22 10:10:54.319,0.44,medium,medium,0 days 00:05:43.879000,0 days 00:05:44.319000,343,345,343.879,344.319,train_15.wav,True
